Destination,Popular Activities
Los Angeles,"Sightseeing, Beach Activities, Hiking"
Chicago,"Museum Visits, Local Food, Shopping"
Seattle,"Sightseeing, Hiking, Coffee Tasting"
Orlando,"Theme Parks, Shopping, Nightlife"
Dallas,"Cultural Tours, Local Food, Shopping"
Las Vegas,"Nightlife, Shows, Gambling"
New Orleans,"Music Festivals, Local Food, Cultural Tours"
Philadelphia,"Historical Tours, Museum Visits, Local Food"
San Diego,"Beach Activities, Surfing, Sightseeing"
San Antonio,"Historical Tours, Cultural Tours, Local Food"
New York,"Sightseeing, Broadway Shows, Shopping"
Miami,"Beach Activities, Nightlife, Water Sports"
San Francisco,"Sightseeing, Wine Tasting, Shopping"
Boston,"Historical Tours, Museum Visits, Local Food"
Washington D.C.,"Historical Tours, Museum Visits, Sightseeing"
Houston,"Space Center Visit, Cultural Tours, Shopping"
Denver,"Hiking, Skiing, Brewery Tours"
Atlanta,"Historical Tours, Cultural Tours, Shopping"
Phoenix,"Hiking, Desert Tours, Golf"
Austin,"Live Music, Cultural Tours, Local Food"
Portland,"Coffee Tasting, Bookstore Visits, Hiking"
Nashville,"Live Music, Cultural Tours, Local Food"
Savannah,"Historical Tours, Cultural Tours, Beach Activities"
Charleston,"Historical Tours, Beach Activities, Local Food"
Honolulu,"Beach Activities, Surfing, Cultural Tours"
Anchorage,"Wildlife Tours, Hiking, Sightseeing"
Salt Lake City,"Skiing, Hiking, Sightseeing"
Santa Fe,"Art Galleries, Cultural Tours, Local Food"
Las Cruces,"Desert Tours, Hiking, Cultural Tours"
Minneapolis,"Museum Visits, Shopping, Local Food"
